Close,%change,,,
305.410004,-0.049088232,,,
304.399994,-0.330706259,,,
305.410004,0.331803555,,,
310.649994,1.715723104,,,
308.649994,-0.643811376,,,
307,-0.534584167,,,
312.309998,1.729641042,,,
310.109985,-0.704432459,,,
308.970001,-0.367606351,,,
309.459991,0.158588212,,,
311.73999,0.73676697,,,
314,0.724966341,,,
318.519989,1.439486943,,,
318.339996,-0.056509169,,,
321.179993,0.892126982,,,
315.26001,-1.843197935,,,
313.850006,-0.447251144,,,
325.920013,3.84578836,,,
332.890015,2.138562139,,,
331.209991,-0.5046784,,,
328.390015,-0.851416345,,,
332.579987,1.275913337,,,
335.399994,0.847918429,,,
335.940002,0.161004177,,,
333.679993,-0.672741855,,,
323.380005,-3.086786207,,,
325.26001,0.581360929,,,
326.790009,0.470392595,,,
331.850006,1.548394033,,,
334.290009,0.735272851,,,
337.339996,0.912377552,,,
348.100006,3.189663286,,,
342.329987,-1.657575094,,,
338.049988,-1.250255357,,,
333.559998,-1.328202976,,,
339.709991,1.843744165,,,
335.019989,-1.380589952,,,
328.600006,-1.916298493,,,
334.570007,1.81679881,,,
335.850006,0.382580319,,,
335.049988,-0.238206933,,,
340.540009,1.638567735,,,
337.98999,-0.748816272,,,
338.149994,0.047339864,,,
341.269989,0.922665993,,,
337.220001,-1.186740156,,,
331.829987,-1.598367233,,,
332.470001,0.19287407,,,
337.200012,1.422688058,,,
342.660004,1.619214652,,,
345.23999,0.752928842,,,
345.730011,0.141936338,,,
359.48999,3.97997818,,,
355.079987,-1.226738747,,,
346.869995,-2.312152839,,,
343.769989,-0.893708319,,,
345.109985,0.389794352,,,
350.980011,1.700914565,,,
337.769989,-3.763753372,,,
330.720001,-2.087215629,,,
338.369995,2.313133157,,,
335.920013,-0.724054153,,,
